Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_text,job_state,company_age,python,cloud,rstudio,sql,pytorch,tensorflow,spark,job_simple,seniority
Jr. Data Scientist,$68K-$118K (Glassdoor est.),"Description

Job Description:

Why wake up every day and want more when YOU CAN HAVE IT? Do you love KNOWING at the end of each day that your work made a difference? We embrace and solve some of the world's toughest challenges. We’re focused on ensuring our intelligence customers have the right tools, technologies, and tactics to keep pace with an ever evolving threat landscape and succeed in their mission to protect people and critical assets around the world. Who wouldn’t be fulfilled being part of that every day? We know once you join Team Leidos, you are sure to go home at the end of every day knowing YOU MADE A DIFFERENCE, resulting in one of the most REWARDING careers you could have imagined. EACH DAY MATTERS!

Leidos is seeking a Data Scientist to provide mission critical support to our customer. In this role, you will uses Data Science and Engineering techniques to satisfy customer requirements. This role requires familiarization with a broad range of data analysis tools and techniques in order to leads complex projects requiring data analysis, interpretation, and communication to support decision-makers and customers. You will implement data auditing, reporting, and security through the use of existing tools and developing new ones. Requires a familiarization with a broad range of data analysis tools and techniques

Primary Responsibilities

Create innovative solutions to meet the technical needs of customers.
Develop custom data models and algorithms to apply to data sets.
Participate in the development of documentation.
Coordinate closely with customers, Scrum Masters, and cross-functional areas to communicate project statuses and initiatives.
Analyze data to effectively coordinate the installation of new systems or modifications to existing systems.
Support the Agile software development lifecycle.
Communicate key project data to team members and build team cohesion and effectiveness.
Develop and execute project plans leveraging Atlassian tool suite like JIRA and Confluence to track activities.
Apply best practices and standard operating procedures.

Basic Qualifications

Candidate must have a BS and 2-4 years or prior relevant experience or Masters and 2 years or prior relevant experience. Additional years of experience can be accepted in lieu of education.
Excellent communication skills: written, verbal and presentation, in order to coordinate across teams to support decision-makers and customers.

Preferred Qualifications

Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Experience visualizing/presenting data for stakeholders.
Experience querying and analyzing machine logs.

Clearance/Citizenship

Candidate must be US Citizen.
Candidate must have an active TS/SCI with Polygraph

External Referral Bonus:
Eligible

Potential for Telework:
No

Clearance Level Required:
Top Secret/SCI with Polygraph

Travel:
No

Scheduled Weekly Hours:
40

Shift:
Day

Requisition Category:
Professional

Job Family:
Data Scientist

Leidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world’s toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company’s 38,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Va., Leidos reported annual revenues of approximately $11.09 billion for the fiscal year ended January 3, 2020. For more information, visit www.Leidos.com.

Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.

Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.

All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws.",3.7,"Leidos
3.7","McLean, VA",-1,10000+ Employees,1969,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,68,118,93.0,Leidos,VA,51,0,1,0,0,0,0,0,data scientist,junior
Data Scientist,$65K-$108K (Glassdoor est.),"HPOne, named CT Magazine's 2018 Great Places to Work, is looking for a Data Scientist to join our team.

The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans.

What you'll do:
Research and develop statistical learning models for data analysis
Develop insights and deliver recommendations based on data analyses
Work with business leaders to articulate business requirements for data analyses
Implement new statistical or other mathematical methodologies for specific models or analyses
Optimize joint development efforts through database use and project design
Create automated reports and dashboard products, in order to display results to internal teams
Develop end-customer segmentation schemes by analyzing customer behavior
Perform ad hoc analyses and deliver recommendations
Develop and implement predictive models like decision tree, regression using R or similar
Communicate results and ideas to key decision makers
Required Skills/Abilities:
Master's Degree in Computer Science, Statistics, Applied Math or related field
Five years' experience with SAS (or similar), ETL, data processing, database programming and data analytics
Experience in data mining and statistical analysis
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Experience with programming languages such as Java / Python (or ""R"")
Experience conducting regression analyses
Understanding of relational databases and data management as well as experience with data aggregation and normalization
Advanced excel expertise (pivot tables, VLOOKUP, report filters, etc.)
Ability to approach tasks strategically, while owning and mastering the details
Exceptional problem solving, as well as analytical and strategic thinking skills
Initiative to own projects from start to finish
Strong oral and written communication skills, with ability to work well with people across the company at all levels


Preferred Skills/Abilities:
Coursework in at least one of the following: mathematics, business, analytical marketing, information systems, programming/databases, statistics/statistical modeling, finance, economics, or physics
Experience conducting analyses and building predictive models using SAS (or similar)
Experience with business intelligence and data visualization tools preferred (like Domo or Tableau)
Physical Requirements:
Prolonged periods of sitting at a desk and working on a computer, typically in an office or cubicle environment (constant noise, fluorescent overhead lighting)
HPOne is an Equal Opportunity Employer:

Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices.

#ZR",3.6,"HPOne
3.6","Trumbull, CT",-1,501 to 1000 Employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),-1,65,108,86.5,HPOne,CT,14,1,0,0,0,0,0,0,data scientist,na
"Scientist III, Pharma R & D",$27K-$85K (Glassdoor est.),"The Scientist III develops and executes formulation strategies related to product development, such as project planning, experimental design and data evaluations. The Scientist III applies technical expertise and has knowledge of various formulation development approaches. Demonstrates leadership and experience in the area of pre-formulation, formulation and process development of immediate and modified solid dosage, Topicals (cream,gel), Oral liquid and /or Transdermal. The position reports to a Manager/ Principal Scientist as described in the current organization chart of the department.

Essential Functions:
Develops formulation strategy and designs experimental plan, formulation and process development work for oral controlled release and immediate release dosage forms, Topicals, (cream, gel), Oral Liquid, and Transdermal products.
Responsible for selection of raw materials, packaging components and process requirements based on sound scientific principles.
Reviews analytical and clinical data and makes scientific conclusions.
Writes and reviews protocols and batch records for process development and evaluation work, scale up and pivotal batch manufacturing.
Creates and reviews technical documents, reports and presentations for cross functional teams. Writes Modules of ANDA's for submission.
Maintain Design history files for combination products. Develop design and development plan.
Keeps updated on cGMP and current technologies.
Additional Responsibilities:
Provides scientific and technical direction to junior staff members (scientists I, II, technicians & operators) to ensure project deadlines and performance standards are met.
Identifies, analyzes and suggests corrective actions to optimize R&D processes, technologies and regulatory compliance issues.
Equipment: Becomix, Tube filler, Transdermal and liquid manufacturing equipment.
Reviews Junior Scientist work.

Qualifications

Education:
A Master Degree (MS/MA) in Pharmaceutical, Chemistry or related technical field is preferred
A Bachelors Degree (BA/BS) in Pharmaceutical, Chemistry or related technical field is required.
Experience:
3 years or more experience with a Master Degree in development of Pharmaceutical Dosage Forms is required.
5 years or more experience with a Bachelors of Science in development of Pharmaceutical Dosage Forms is required.
Skills:
Must have knowledge of Pharmaceutical product development and manufacturing process. - Intermediate
Must be precise and consistent in day to day developmental work, easily trainable and ready to learn. - Intermediate
Must be able to effectively communicate reports, problems or issues, verbally as well as in writing. - Intermediate
Must have good oral and written communication skills. - Intermediate
Must be able to work in a team environment and be flexible to easily adapt to changes in assignments. - Intermediate
Must follow safe practices as defined by the SOP's and MSDS. - Intermediate
Must be willing to work extended hours as and when required. - Intermediate
Strong interpersonal skills and maintaining cooperative working relationships with others. - Intermediate
Managing multiple projects, duties and assignments. - Intermediate
Specialized Knowledge:
Must possess in depth knowledge and trouble shooting skills with Wurster Bottom Spray Fluid Bed Processors from lab scale to Commercial scale.
Must possess expertise with the use and optimization of extrusion and spheronization manufacturing techniques.
Must have a good understanding of complex modified release dosage forms.
Must Possess in-depth knowledge of the operation and troubleshooting skills for various lab scale equipment to production scale equipment: including Blenders, granulators, planetary mixers, fluid bed dryers, fluid bed coaters, incubators, mills, vibrorotatory sifters, encapsulation equipment (Manual to fully automatic), tablet presses and tablet coaters, roller compaction, packaging.
Works independently once assignments and responsibilities are outlined and delegated. Effective in oral and written communication skills at all levels and cross functionally.

Primary Location: US-NJ-Piscataway
Work Locations: Piscataway 49 49 Colonial Drive Piscataway 08854
Job: Research & Analytics
Organization: Scientific Affairs
Schedule: Regular
Shift: Standard
Employee Status: Individual Contributor
Job Type: Full-time
Job Level: 1st Shift
Travel: No
Job Posting: Dec 4, 2019, 10:41:34 AM",3.3,"Amneal Pharmaceuticals
3.3","Piscataway, NJ",-1,5001 to 10000 Employees,2002,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,27,85,56.0,Amneal Pharmaceuticals,NJ,18,0,0,0,0,0,0,0,data scientist,na
Spark/Big Data Engineer,$52K-$101K (Glassdoor est.),"The Data Consumption team of Decision Sciences and Transformation (DSaT) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.

Basic Qualifications:

At least two years of experience with SQL and Java or Scala

Experience with manipulating and transforming data

Exposure to NoSQL databases, Spark and the Hadoop Ecosystem (MapReduce, Oozie, Hive, Pig)

Strong critical thinking, decision making, and problem-solving skills

Excellent verbal/written communication skills, including communicating technical issues to non-technical audiences

Bachelor’s degree in a computer related field or equivalent professional experience required

Preferred Qualifications:

Experience in designing efficient and robust ETL/ELT workflows, schedulers, and event-based triggers

Experience with Spark core and Spark SQL
Experience as a Big Data Developer

Exposure to Data Mining, Data Engineering and Data Modeling

Exposure to Graph Databases

Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

Qualifications
About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Benefits:

As a full-time Big Data Developer, you’ll enjoy our Total Rewards Program* to help secure your financial future and preserve your health and well-being, including:

Premier Medical, Dental and Vision Insurance with no waiting period**

Paid Vacation, Sick and Parental Leave

401(k) Plan with Profit Sharing
Tuition Reimbursement
Paid Training and Licensures
Benefits may be different by location. Benefit eligibility requirements vary and may include length of service.
*Coverage begins with the pay period after hire date. Must enroll in New Hire Benefits within 30 days of the date of hire for coverage to take effect.",3.5,"GEICO
3.5","Chevy Chase, MD",-1,10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1,52,101,76.5,GEICO,MD,84,0,0,0,1,0,0,1,data engineer,na
Scientist/Sr. Scientist,$74K-$151K (Glassdoor est.),"Scientist/Sr. Scientist, Technical Services, Franklinton NC

Do you want to rethink your impact, and are you passionate about finding biological solutions and creating better business through biology? Then you might be our new Scientist.

What if you could work for a cause, not just a company?
Novozymes is the global market leader in biological solutions. We help build better lives. Together with our customers, partners and the global community, we use our innovative thinking and passion for science to boost industries and make everyday products more sustainable for the good of the planet. As the world’s leading provider of industrial enzymes and microorganisms, our bio-innovation enables higher agricultural yields, low-temperature washing, energy-efficient production, renewable fuel and many, many other biological solutions that the world can benefit from today and in the future. We call it Rethink Tomorrow.

Join us as our new Scientist/Sr. Scientist
At Novozymes, we work in close partnership with our customers and the global community to make a sustainable impact. We use science to advance industries, and as part of the Agricultural and Industrial Business division, you will provide biological solutions that help improve what the world eats and drinks.

Welcome to Technical Services
Are you an engineer or scientist new in your career and ready to contribute more? Or have you been practicing your craft for 10 or more years and are ready for a new and exciting challenge with a company making a difference in the world? We are seeking an energetic, results oriented, collaborative colleague to join our Starch and Grain Milling Technical Services team. In this role you will partner with our customers in the grain processing industry as a technical expert and help them discover ways to better use our products. To be successful in this role, you should be highly innovative, with the ability to think outside the box to solve technical problems. In addition, you should have a solid understanding of how technologies and process improvements will impact the success of both Novozymes and our customers.

In this role you’ll make an impact by:
As a TS Scientist, you will help our customers understand and apply the sustainable solutions that Novozymes creates, guiding our customers in exploring new applications and optimizing current production. You’ll join forces to think about future trends and ideas, and work to make them a reality today. You can expect to travel domestically and internationally up to 40% to collaborate with cross functional and international teams on projects and plant trials.

To succeed you must hold:
At a minimum you must have a BS degree in Chemical Engineering, Biochemistry, or related discipline with at least 8 years of experience, half of which is directly related to the Starch and/or Grain Milling field.
Expertise in starch refining enzymes and their industrial application.
Ability to function well in laboratory and pilot plant settings – setting up and carrying out lab experiments to support customer projects and product development efforts.
Ability to lead technical projects, whether they be new product innovations or new digital tool development.
Solid technical background, including chemistry, process engineering, and data analysis proven by your ability to problem solve and offer innovative and viable solutions.
You should be good at building trust and rapport at all levels of an organization, and willing to work in full-scale production and conference room environments.
Experience working in a global setting will prepare you for working effectively and communicating well with our customers.

Location:
This job will be located at Franklinton, NC

Are you passionate about making a sustainable impact, and do you see yourself in this position? Then unlock your passion and apply today!

Application deadline: November 20, 2020

Novozymes is committed to creating a diverse environment and is proud to be an equal opportunity and affirmative action employer. All employment decisions are based on business needs without regard to race, color, ethnicity, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, disability or veteran status.

Not the right fit for you?
If this job for some reason is not the right fit for you, perhaps you know someone who might find it interesting? If so, please feel free to share the job link and encourage him or her to apply. Thank you for your referral. Please check out our other open positions. Maybe the right fit for you is just a few clicks away.

Want to learn more?
Did you know, that Novozymes was ranked #7 in Science magazine’s global Top Employers Survey 2019?

At Novozymes, we invite you to join us in finding biological solutions to the world’s problems. Being a pioneering company, we seek people, who are eager to try new things, motivated by challenge and not afraid to fail but driven to try again. And again. Original thinking happens when we’re given the flexibility to focus and the freedom to fully unfold our individual strengths. This is key to our innovation power and how we have become one of the top patent holders in the biotech industry. Learn more about Novozymes, our purpose, and your career opportunities at www.novozymes.com/en/careers. Follow us on LinkedIn and Instagram.",3.7,"Novozymes
3.7","Franklinton, NC",-1,5001 to 10000 Employees,2000,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,74,151,112.5,Novozymes,NC,20,0,0,0,0,0,0,0,data scientist,senior
Data Analyst,$33K-$57K (Glassdoor est.),"Job Details
Description

MetroNet has an immediate opening for an energetic; Data Analyst in Evansville, IN!

At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the Best Places to Work in 2020 by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates.

We’re looking for tech-savvy, innovative thinkers to join our team and help us create what’s next!

What is in it for you?

Competitive total compensation package
80% of Medical premiums paid for by company
Company paid Disability and Life insurance
401(k) company match and 100% vested on day 1
Discounted MetroNet service in our serviceable area
Flexible schedule
Locally owned, friendly, fun atmosphere

Job Summary:

Data Analysts in the analytics department are both full-time analysts and full-time project managers. They are also part-time report creators, part-time geospatial analysts, and part-time mad scientist. Our product is data, and our process is creative. We support every part of the business from the initial review of potential markets, to design, construction, sales, field services, management and customer service. Our analyst positions are expected to be able to solve problems and derive insights, sometimes even when none had been thought possible. We are a creative group; we do a lot of individual and also team-based collaborative work. We manage projects throughout their entire life cycle, from requirements to support. We are not an I.T. department, although we perform many functions that a typical I.T. department does. We are problem solvers, process improvers, and data storytellers.

What you will be doing:

Reviews, analyzes, and evaluates business systems and user needs.
Developing and implementing data analyses, data collection systems and other strategies that optimize statistical efficiency and quality
Acquiring data from primary or secondary data sources and maintaining databases
Manages the progress of projects and drives them to completion, sets customer and managerial expectations, and communicates status.
Identify, analyze, and interpret trends or patterns in complicated data sets and effectively communicate this information with management

What You Need For This Position:

Business process analysis and project management.
Telecommunication industry experience desirable.
Strong analytical skillswith the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Excellent interpersonal, analytical, organizational, and problem-solving skills.
Excellent oral and written communication skills.
Experience and comfort with Microsoft Office products
SQL experience a huge plus
The desire to succeed, improve, and learn

If you have a strong desire to impact, the success of our organization by ensuring we continue to attract and retain committed professionals, please apply today!

MetroNet is an EQUAL OPPORTUNITY EMPLOYER

#ZR",4.5,"MetroNet
4.5","Evansville, IN",-1,1001 to 5000 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable,-1,33,57,45.0,MetroNet,IN,15,0,0,0,1,0,0,0,analyst,na
Senior Data Scientist,$98K-$158K (Glassdoor est.),"This position is available for remote employment in these areas:
Boston MA, Draper UT
Job Description:


The Opportunity

Pluralsight Iris is the learning intelligence platform built within Pluralsight. It helps technologists worldwide discover the learning they need to achieve their personal and career goals in technology.

As a data scientist on our core team, you will help us solve novel statistical, machine learning, and data science problems by building and improving on the intelligence of Iris. We are looking for an experienced data scientist who loves tackling ambiguous problems, finding creative and practical solutions, and producing concrete prototypes that will become a key part of Pluralsight’s user experience. You’ll work closely with an established team of top-notch, collaborative data scientists and you will collaborate with a cross-functional product team that is responsible for one of Pluralsight’s key differentiators.

Who you are:
You are intellectually curious, collaborative, and highly driven with an entrepreneurial mindset. You have excellent critical thinking, problem solving, and analytical skills.
You can guide complex projects from ideation and planning to model design to deployment and independently make decisions about the technical approach
You have a solid data science toolkit that you can leverage, with knowledge of and understanding of how and when to apply different algorithms and technical approaches.
You have a strong foundation in Machine Learning, Computer Science, and Statistics.
You have mastery of either Python or R. Regardless of your favorite scientific computing environment, you can flex between the two languages.
You know your way around SQL-like databases (e.g. PostGres, Impala, Hive) and even better if you have experience with Spark and other big data platforms.
You are able to perform rapid prototyping of experimental solutions, writing readable, scalable, and reproducible code.
You can describe and speak in an approachable way about complex analyses and concepts within a cross-functional team. You are a great “analytic translator”.
What you’ll do:
You will collaborate with product teams to understand and solve complex problems; envisioning and creating data science solutions needed to drive our user experience outcomes.
You will create, iterate, and innovate on models and algorithms and collaborate with team members to implement them on the Pluralsight platform.
You will evaluate and introduce new technology by developing proof-of-concepts and prototypes and effectively communicating highly complex information to Experience team partners and leaders
You will propose and design experiments to test new product features and analyze their results.
You will also serve as a data science expert and consultant to Pluralsight’s product teams, leveraging your statistical and analytical skills to answer ad hoc questions.
Experience you’ll need:
M.S. or Ph.D in Computer Science, Statistics, Mathematics, Data Science, or related quantitative discipline
Minimum 5 years in a non-academic data science role, conducting analysis, developing algorithms and building prototypes
Experience working with product development teams and/or with developers
#LI-Remote",4.3,"Pluralsight
4.3","Draper, UT",-1,1001 to 5000 Employees,2004,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,98,158,128.0,Pluralsight,UT,16,1,0,0,1,0,0,1,data scientist,senior
Data Scientist,$94K-$155K (Glassdoor est.),"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.

Summary:

In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.

Responsibilities:

Provide analysis to identify critical issues/questions around member performance.

Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.

Generate hypotheses and analyze data to test and interpret results.

Design and develop data models to predict member outcomes or future impact of key member decisions.

Communicate findings from exploratory and predictive data analysis broadly to team and leaders.

Identify improvement opportunities in reporting and BI tools and collaborate with Products Technology to implement enhancements.

Serve as the resident data expert and share best practices/approaches for statistics, machine learning techniques, data modeling, simulation and advanced mathematics.

Collaborate with key leaders and clinicians to build analytical acumen across all analytic roles in the organization.

Qualifications:

Relevant degree preferred. Advanced degree a plus.

5 or more years of relevant work experience.

Proficient programming experience using SAS/Python/R.

Demonstrated ability to manage large disparate data sets and using quantitative and qualitative analysis.

Experience effectively communicating and presenting data to a variety of audiences required.

Experience working with health care administrative claims data (ICD-10, MS-DRG, CPT/HCPCS) or electronic medical record data tools (Epic Clarity/Caboodle, Cerner CCL-Discern/PowerInsight) required.

#LI-DM

#IDS

Equal Opportunity Employer: Females/Minorities/Veterans/Individuals with Disabilities

The Company is committed to equal employment opportunity to all employees and applicants without regard to race, religion, color, gender identity, ethnicity, age, national origin, sexual orientation, disability status, veteran status or any other category protected by applicable law.",4.0,"Vizient, Inc.
4.0","Chicago, IL",-1,1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),-1,94,155,124.5,"Vizient, Inc.",IL,43,1,0,0,0,0,0,0,data scientist,na
Research Data Scientist,$72K-$120K (Glassdoor est.),"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.

JOB DUTIES

Design and develop scalable machine learning and network analytic algorithms
Evaluate performance of a variety of machine learning and network analytic algorithms
Debug and solve problems in complex environments
Explore use of novel methods for compression, dimensionality reduction and summarization
Communicate findings effectively in the form of briefings and technical reports
Formulate research ideas/hypotheses to solve new problems

DESIRED SKILLS

Algorithm development experience in Python, C/C++ and/or Java
Development of machine learning and/or graph-based algorithms (e.g., scikit-learn, networkx, mlpack, weka)
Familiar with high performance and big data computing technology (e.g., MPI, OpenMP, OpenACC, CUDA, opencl, mapreduce, hadoop, spark, BSP)
Exposure to graph traversal languages and graph databases (e.g., Apache Tinkerpop, neo4j, JanusGraph)
Familiar with word embedding methods (e.g., word2vec, GloVe, doc2vec)
Comfortable working on linux systems

EDUCATION

A Masters degree or Ph.D. in Computer Science, Engineering, Mathematics, Physics or related field is required.

About IAI

IAI is a technology innovation company specializing in providing advanced technology solutions and R&D services to federal agencies and corporations. IAI leverages agile R&D processes, a multi-disciplinary collaborative environment, and its substantial intellectual property portfolio to excel in developing concepts into market-focused products and customer-driven solutions. IAI’s core R&D areas include: AI & Advanced Computing; Autonomy & Robotics; Healthcare Research Technologies; Modeling, Simulation & Visualization; and Networks & Cyber Security; and Radar, Communications & Sensors. For more information about IAI please visit www.i-a-i.com.

US Citizenship or Permanent Residency required

All qualified applicants will receive consideration for employment without regard to race,

color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.

Requisition ID:",3.7,"Intelligent Automation
3.7","Rockville, MD",-1,51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),-1,72,120,96.0,Intelligent Automation,MD,33,1,0,0,0,0,0,1,data scientist,na
Data Scientist in Artificial Intelligence - Intermediate,$49K-$85K (Glassdoor est.),"*Organization and Job ID**
Job ID: 311093

Directorate: National Security Directorate

Division: Computing and Analytics

Group: Data Sciences and Analytics
*Job Description**
Do you want to create a legacy of meaningful research for the greater good? Do you want to lead and contribute to work in support of an organization that addresses some of todays most challenging problems that face our Nation? Do you want to work with engaging and collaborative teams? Then join us in the Data Sciences and Analytics Group at the Pacific Northwest National Laboratory (PNNL)!

For more than 50 years, PNNL has advanced the frontiers of science and engineering in the service of our nation and the world in the areas of energy, the environment and national security. PNNL is committed to advancing the state-of-the-art in artificial intelligence through applied machine learning and deep learning to support scientific discovery and our sponsors missions. Help us advance this frontier and protect our nation!

Data science at the Pacific Northwest National Laboratory (PNNL) addresses critical national and global issues by applying scientific and mathematical techniques to multiple data sources and communicating the finding to our sponsors and the academic community. This position requires thought leadership and technical depth to support the sponsors of PNNLs National Security Directorate in the development and advancement of data science and deep learning research. Research of interest includes the development, implementation, and resulting analyses of national security capabilities related to geo-spatial analytics, AI assurance, adversarial machine learning, human language technologies, computer vision, disaster response and recovery, health security, and other related fields.

The data scientist in artificial intelligence should have the following attributes:

+ Familiar with existing deep learning libraries (e.g., TensorFlow, PyTorch, Caffe2) and machine learning packages (i.e. sklearn)

+ Experience applying machine learning and artificial intelligence to domain specific applications, such as geospatial intelligence, natural language processing, few-shot learning, adversarial machine learning, social computing, computer vision, etc.

+ Ability to contribute that knowledge to the academic and research strength of PNNL and have experience writing scientific publications demonstrating their insight and discovery.

+ Publication record in scientific conferences such as NIPS, ICML, ICLR, KDD, CVPR, ICCV, ECCV, ACL, ICWSM, EMNLP, NAACL, EACL, COLING, and SIGIR is preferred

This position will require interactions with Government, military, and industry officials nationwide for a variety of programs, projects, and tasks, including technical and programmatic concept development, planning, coordination, integration, and execution that can be supported by data science and deep learning techniques.
*Minimum Qualifications**
+ Bachelor's degree with 2 years of experience, a Masters degree with 0-2 years of experience, or a PhD with 0 years of experience is required.
*Preferred Qualifications**
+ Active Federal Q Clearance and ability to maintain such clearance.
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
This position requires the ability to obtain and maintain a federal security clearance.

Requirements:
U.S. Citizenship
Background Investigation: Applicants selected will be subject to a Federal background investigation and must meet eligibility requirements for access to classified matter in accordance 10 CFR 710, Appendix B.
Drug Testing: All Security Clearance (L or Q) positions will be considered by the Department of Energy to be Testing Designated Positions which means that they are subject to applicant, random, and for cause drug testing. In addition, applicants must be able to demonstrate non-use of illegal drugs, including marijuana, for the 12 consecutive months preceding completion of the requisite Questionnaire for National Security Positions (QNSP).
Note: Applicants will be considered ineligible for security clearance processing by the U.S. Department of Energy until non-use of illegal drugs, including marijuana, for 12 consecutive months can be demonstrated.

_Directorate:_ _National Security_

_Job Category:_ _Computation and Information Sciences_

_Group:_ _Data Sciences & Analytics_

_Opening Date:_ _2020-08-23_

_Closing Date:_ _2020-11-21_",4.0,"Pacific Northwest National Laboratory
4.0","Richland, WA",-1,1001 to 5000 Employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),-1,49,85,67.0,Pacific Northwest National Laboratory,WA,55,0,0,0,0,1,1,0,data scientist,na
